node_id,x,y,z
12817,1695.89,988.337,237.731
12818,1698.25,986.565,237.676
12819,1700.62,984.783,237.619
12820,1703.0,982.99,237.561
12821,1705.39,981.187,237.5
12822,1707.81,979.373,237.438
12823,1710.23,977.549,237.372
12824,1712.67,975.713,237.304
12825,1715.12,973.867,237.233
12826,1717.59,972.01,237.159
12827,1720.08,970.141,237.082
12828,1722.57,968.262,237.001
12829,1725.09,966.371,236.918
12830,1727.62,964.468,236.831
12831,1730.16,962.554,236.742
12832,1737.89,956.742,236.458
12833,1740.55,954.737,236.357
12834,1740.55,954.737,233.981
12835,1564.61,836.825,215.007
12836,1561.88,838.875,215.044
12837,1564.61,836.825,218.337
12838,1561.88,838.875,218.126
12839,1629.03,788.355,213.668
12840,1632.38,785.837,213.597
12841,1632.38,785.837,210.022
12842,1585.21,821.329,214.656
12843,1588.22,819.063,214.595
12844,1591.25,816.784,214.53
12845,1594.29,814.492,214.464
12846,1597.36,812.186,214.395
12847,1600.44,809.865,214.325
12848,1603.55,807.531,214.253
12849,1606.67,805.184,214.18
12850,1609.8,802.824,214.106
12851,1612.96,800.449,214.032
12852,1616.14,798.059,213.958
12853,1619.33,795.655,213.884
12854,1622.55,793.236,213.811
12855,1625.78,790.803,213.739
12856,1635.6,783.414,213.531
12857,1638.83,780.983,213.467
12858,1638.83,780.983,216.438
12859,1573.33,830.261,214.874
12860,1576.28,828.047,214.824
12861,1570.41,832.461,214.922
12862,1567.5,834.65,214.966
12863,1558.87,841.14,215.082
12864,1555.87,843.4,215.118
12865,1555.87,843.4,217.653
12866,1582.21,823.581,214.715
12867,1852.67,1151.25,267.527
12868,1849.73,1151.25,267.327
12869,1849.73,1151.25,265.478
12871,1792.64,1151.25,263.442
12875,1795.25,1151.25,263.619
12876,1797.86,1151.25,263.797
12877,1800.47,1151.25,263.975
12878,1803.08,1151.25,264.152
12879,1805.69,1151.25,264.33
12881,1818.74,1151.25,265.218
12882,1821.35,1151.25,265.396
12883,1823.96,1151.25,265.573
12885,1837.01,1151.25,266.461
12886,1839.62,1151.25,266.639
12887,1842.23,1151.25,266.817
12888,1844.84,1151.25,266.994
12889,1847.45,1151.25,267.172
12890,1855.59,1151.25,267.726
12891,1855.59,1151.25,269.261
12892,1784.56,1046.77,250.431
12893,1786.66,1045.19,250.373
12894,1786.66,1045.19,248.07
12895,1736.86,1082.65,251.587
12896,1739.1,1080.97,251.538
12897,1739.11,1080.96,249.462
12898,1734.63,1084.33,251.639
12899,1734.63,1084.33,250.058
12900,1740.76,1079.72,251.501
12901,1742.73,1078.24,251.459
12902,1742.73,1078.24,253.949
12903,1744.71,1076.75,251.417
12904,1744.71,1076.75,254.066
12905,1746.7,1075.26,251.374
12906,1746.7,1075.26,254.174
12907,1748.7,1073.75,251.332
12908,1750.71,1072.24,251.288
12909,1752.73,1070.71,251.244
12910,1754.77,1069.18,251.199
12911,1756.81,1067.64,251.153
12912,1758.87,1066.09,251.106
12913,1760.94,1064.54,251.057
12914,1763.03,1062.97,251.006
12915,1765.12,1061.39,250.955
12916,1767.23,1059.8,250.901
12917,1769.35,1058.21,250.846
12918,1771.49,1056.6,250.79
12919,1773.63,1054.99,250.733
12920,1775.79,1053.36,250.674
12921,1777.97,1051.73,250.614
12922,1780.15,1050.08,250.554
12923,1782.35,1048.43,250.493
12924,1789.03,1043.41,250.308
12925,1791.41,1041.62,250.242
12926,1791.41,1041.62,248.278
12927,1771.6,1025.23,247.026
12928,1773.8,1023.58,246.97
12929,1771.6,1025.23,249.515
12930,1773.8,1023.58,249.313
12931,1722.03,1062.53,248.302
12932,1724.33,1060.8,248.254
12933,1722.03,1062.53,250.312
12934,1724.32,1060.8,250.484
12935,1719.73,1064.26,248.348
12936,1719.73,1064.26,250.128
12937,1726.08,1059.48,248.217
12938,1726.08,1059.48,250.604
12939,1728.13,1057.94,248.172
12940,1728.13,1057.94,250.714
12941,1730.18,1056.39,248.125
12942,1730.18,1056.39,250.788
12943,1732.25,1054.84,248.076
12944,1732.25,1054.84,250.832
12945,1734.33,1053.28,248.026
12946,1734.33,1053.28,250.866
12947,1736.42,1051.7,247.973
12948,1736.42,1051.7,250.892
12949,1738.52,1050.12,247.919
12950,1738.52,1050.12,250.91
12951,1740.64,1048.53,247.864
12952,1740.64,1048.53,250.914
12953,1742.76,1046.93,247.807
12954,1742.76,1046.93,250.901
12955,1744.9,1045.32,247.749
12956,1744.9,1045.32,250.883
12957,1747.06,1043.7,247.69
12958,1747.06,1043.7,250.858
12959,1749.22,1042.07,247.631
12960,1749.22,1042.07,250.812
12961,1751.4,1040.43,247.57
12962,1751.4,1040.43,250.751
12963,1753.59,1038.78,247.51
12964,1753.59,1038.78,250.674
12965,1755.8,1037.12,247.449
12966,1755.8,1037.12,250.583
12967,1758.01,1035.45,247.387
12968,1758.01,1035.45,250.476
12969,1760.24,1033.78,247.326
12970,1760.24,1033.78,250.353
12971,1762.49,1032.09,247.266
12972,1762.49,1032.09,250.216
12973,1764.75,1030.39,247.205
12974,1764.75,1030.39,250.064
12975,1767.02,1028.68,247.145
12976,1767.02,1028.68,249.896
12977,1769.3,1026.96,247.085
12978,1769.3,1026.96,249.713
12979,1776.24,1021.74,246.908
12980,1776.24,1021.74,249.073
12981,1778.69,1019.9,246.846
12982,1778.69,1019.9,248.817
12983,1296.67,120.263,147.654
12984,1314.46,120.26,146.212
12985,1044.58,120.251,168.25
